id,name,tags,rule
corpus-titled-ceviche,Ceviche,"dinner,lunch",default main → lunch + dinner
corpus-titled-egg-and-sausage-casserole,Egg And Sausage Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-celery-casserole,Celery Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-custard,Custard,dessert,dessert
corpus-titled-jello-dessert,Jello Dessert,dessert,dessert
corpus-titled-cheese-cookies,Cheese Cookies,dessert,dessert
corpus-titled-marinated-slaw,Marinated Slaw,"dinner,lunch",default main → lunch + dinner
corpus-titled-smothered-steak,Smothered Steak,"dinner,lunch",default main → lunch + dinner
corpus-titled-soft-chocolate-chip-cookies,Soft Chocolate Chip Cookies,dessert,dessert
corpus-titled-peanut-sauce,Peanut Sauce,"dinner,lunch",default main → lunch + dinner
corpus-titled-vanilla-pudding,Vanilla Pudding,dessert,dessert
corpus-titled-hobo-bread,Hobo Bread,"dinner,lunch",default main → lunch + dinner
corpus-titled-meatball-stew,Meatball Stew,"dinner,lunch",default main → lunch + dinner
corpus-titled-sausage-and-cheese-balls,Sausage And Cheese Balls,"dinner,lunch",default main → lunch + dinner
corpus-titled-beer-cheese-soup,Beer Cheese Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-seafood-dip,Seafood Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-finger-paint,Finger Paint,"dinner,lunch",default main → lunch + dinner
corpus-titled-oriental-chicken-salad,Oriental Chicken Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-hard-candy,Hard Candy,dessert,dessert
corpus-titled-almond-joy-cake,Almond Joy Cake,dessert,dessert
corpus-titled-venison-chili,Venison Chili,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-meringue-pie,Chocolate Meringue Pie,dessert,dessert
corpus-titled-cheese-krispies,Cheese Krispies,"dinner,lunch",default main → lunch + dinner
corpus-titled-blt-dip,Blt Dip,"dinner,lunch",default main → lunch + dinner
corpus-titled-butterscotch-bars,Butterscotch Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-cream-puff-cake,Cream Puff Cake,dessert,dessert
corpus-titled-chile-con-queso,Chile Con Queso,"dinner,lunch",default main → lunch + dinner
corpus-titled-cheese-enchiladas,Cheese Enchiladas,"dinner,lunch",default main → lunch + dinner
corpus-titled-salmon-chowder,Salmon Chowder,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-glaze,Chocolate Glaze,"dinner,lunch",default main → lunch + dinner
corpus-titled-strawberry-spinach-salad,Strawberry Spinach Salad,"dinner,lunch",default main → lunch + dinner
corpus-titled-carnitas,Carnitas,"dinner,lunch",default main → lunch + dinner
corpus-titled-moroccan-chicken,Moroccan Chicken,"dinner,lunch",default main → lunch + dinner
corpus-titled-delicious,& Delicious,"dinner,lunch",default main → lunch + dinner
corpus-titled-pizza-cups,Pizza Cups,"dinner,lunch",default main → lunch + dinner
corpus-titled-church-windows,Church Windows,"dinner,lunch",default main → lunch + dinner
corpus-titled-potatoes-romanoff,Potatoes Romanoff,"dinner,lunch",default main → lunch + dinner
corpus-titled-squash-souffle,Squash Souffle,"dinner,lunch",default main → lunch + dinner
corpus-titled-three-bean-casserole,Three Bean Casserole,"dinner,lunch",default main → lunch + dinner
corpus-titled-chocolate-mousse-pie,Chocolate Mousse Pie,dessert,dessert
corpus-titled-black-magic-cake,Black Magic Cake,dessert,dessert
corpus-titled-impossible-taco-pie,Impossible Taco Pie,dessert,dessert
corpus-titled-instant-spiced-tea,Instant Spiced Tea,"dinner,lunch",default main → lunch + dinner
corpus-titled-chicken-loaf,Chicken Loaf,"dinner,lunch",default main → lunch + dinner
corpus-titled-turkey-loaf,Turkey Loaf,"dinner,lunch",default main → lunch + dinner
corpus-titled-italian-spaghetti,Italian Spaghetti,"dinner,lunch",default main → lunch + dinner
corpus-titled-cherry-cream-cheese-pie,Cherry Cream Cheese Pie,dessert,dessert
corpus-titled-oreo-delight,Oreo Delight,"dinner,lunch",default main → lunch + dinner
corpus-titled-stuffed-celery,Stuffed Celery,"dinner,lunch",default main → lunch + dinner
corpus-titled-pineapple-cream-pie,Pineapple Cream Pie,dessert,dessert
corpus-titled-nanaimo-bars,Nanaimo Bars,"dinner,lunch",default main → lunch + dinner
corpus-titled-barbecue-spareribs,Barbecue Spareribs,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-brownies,Zucchini Brownies,dessert,dessert
corpus-titled-asparagus-soup,Asparagus Soup,"dinner,lunch",default main → lunch + dinner
corpus-titled-tortillas,Tortillas,"dinner,lunch",default main → lunch + dinner
corpus-titled-zucchini-chocolate-cake,Zucchini Chocolate Cake,dessert,dessert
